FVF	      HT9		    CVF		    Pin Diameter [cm]
0.20000		0.22126		0.57874		0.7060
0.21009		0.22377		0.56615		0.7208
0.22000		0.22617		0.55383		0.7350
0.22999		0.22854		0.54147		0.7490
0.24006		0.23087		0.52906		0.7628
0.24990		0.23311		0.51699		0.7760
0.26016		0.23540		0.50444		0.7895
0.27008		0.23756		0.49236		0.8023
0.28003		0.23970		0.48028		0.8149
0.28999		0.24179		0.46821		0.8273
0.30005		0.24388		0.45608		0.8396
0.31002		0.24591		0.44407		0.8516
0.32008		0.24792		0.43200		0.8635
0.33003		0.24989		0.42008		0.8751
0.34005		0.25184		0.40811		0.8866
0.35004		0.25375		0.39621		0.8979
0.36000   0.25563   0.38437   0.9090
0.37000   0.25749   0.37251   0.9200
0.38005   0.25934   0.36061   0.9309
0.39004   0.26116   0.34881   0.9416
0.40007   0.26296   0.33698   0.9522
0.41003   0.26471   0.32526   0.9626
0.42002   0.26645   0.31353   0.9729
0.43003   0.26818   0.30179   0.9831

