MCC3ID     Density [#/barn-cm]
U235_7     3.02294E-03
U238_7     1.19390E-02
ZR90_7     2.22630E-03
ZR91_7     4.85502E-04
ZR92_7     7.42101E-04
ZR94_7     7.52053E-04
ZR96_7     1.21159E-04
FE54_7     1.08368E-03
FE56_7     1.70114E-02
FE57_7     3.92868E-04
FE58_7     5.22838E-05
NI58_7     8.53217E-05
NI60_7     3.28656E-05
NI61_7     1.42878E-06
NI62_7     4.55454E-06
NI64_7     1.16057E-06
CR50_7     1.22430E-04
CR52_7     2.36094E-03
CR53_7     2.67711E-04
CR54_7     6.66391E-05
MO92_7     1.89658E-05
MO94_7     1.18217E-05
MO95_7     2.03461E-05
MO96_7     2.13174E-05
MO97_7     1.22051E-05
MO98_7     3.08387E-05
MO1007     1.23074E-05
MN55_7     1.33899E-04
NA23_7     3.38027E-03
